date,game_pk,home_team,away_team,season,margin_edge,side,is_dog,odds_used,ml_units,actual_f5_margin,won,push,profit,bet_type,model_total,consensus_f5_total,edge,actual_f5_total,model_nrfi_prob,market_nrfi_prob,actual_nrfi
2024-06-14,745247,Seattle Mariners,Texas Rangers,2024,0.905,HOME_F5_ML,True,110.0,1.5,1.0,True,False,165.0,f5_ml,,,,,,,
2024-06-16,745895,Minnesota Twins,Oakland Athletics,2024,0.682,HOME_F5_ML,False,-190.0,1.0,4.0,True,False,53.0,f5_ml,,,,,,,
2024-06-16,746546,Colorado Rockies,Pittsburgh Pirates,2024,0.539,HOME_F5_ML,True,140.0,1.0,-1.0,False,False,-100.0,f5_ml,,,,,,,
2024-06-16,745891,Minnesota Twins,Oakland Athletics,2024,0.743,HOME_F5_ML,False,-190.0,1.0,1.0,True,False,53.0,f5_ml,,,,,,,
2024-06-18,746049,Miami Marlins,St. Louis Cardinals,2024,-0.709,AWAY_F5_ML,False,-360.0,1.0,-2.0,True,False,28.0,f5_ml,,,,,,,
2024-06-18,744843,Washington Nationals,Arizona Diamondbacks,2024,0.663,HOME_F5_ML,False,-128.0,1.0,-4.0,False,False,-100.0,f5_ml,,,,,,,
2024-06-18,745893,Minnesota Twins,Tampa Bay Rays,2024,0.579,HOME_F5_ML,False,-175.0,1.0,0.0,False,True,0.0,f5_ml,,,,,,,
2024-06-19,745489,Pittsburgh Pirates,Cincinnati Reds,2024,0.588,HOME_F5_ML,False,-125.0,1.0,0.0,False,True,0.0,f5_ml,,,,,,,
2024-06-19,746781,Chicago White Sox,Houston Astros,2024,0.549,HOME_F5_ML,True,140.0,1.0,-1.0,False,False,-100.0,f5_ml,,,,,,,
2024-06-19,746538,Colorado Rockies,Los Angeles Dodgers,2024,-1.11,AWAY_F5_ML,False,-180.0,2.0,-2.0,True,False,111.0,f5_ml,,,,,,,
2024-06-20,746626,Cleveland Guardians,Seattle Mariners,2024,-0.678,AWAY_F5_ML,False,-135.0,1.0,2.0,False,False,-100.0,f5_ml,,,,,,,
2024-06-20,746782,Chicago White Sox,Houston Astros,2024,-0.533,AWAY_F5_ML,True,117.0,1.0,2.0,False,False,-100.0,f5_ml,,,,,,,
2024-06-21,746624,Cleveland Guardians,Toronto Blue Jays,2024,0.512,HOME_F5_ML,False,-123.0,1.0,6.0,True,False,81.0,f5_ml,,,,,,,
2024-06-23,745566,Philadelphia Phillies,Arizona Diamondbacks,2024,0.652,HOME_F5_ML,False,-194.0,1.0,1.0,True,False,52.0,f5_ml,,,,,,,
2024-06-22,746541,Colorado Rockies,Washington Nationals,2024,-0.786,AWAY_F5_ML,False,-130.0,1.5,1.0,False,False,-150.0,f5_ml,,,,,,,
2024-06-23,746457,Detroit Tigers,Chicago White Sox,2024,0.652,HOME_F5_ML,False,-180.0,1.0,9.0,True,False,56.0,f5_ml,,,,,,,
2024-06-24,746458,Detroit Tigers,Philadelphia Phillies,2024,-3.304,AWAY_F5_ML,False,-185.0,3.0,-3.0,True,False,162.0,f5_ml,,,,,,,
